DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-28T01:04:30-05:00,42,30,34,,34,30,42,,,30,25,30,,30,21,21,38
2023-05-28T01:05:00-05:00,38,30,,,34,30,42,,,34,30,30,,30,17,21,34
2023-05-28T01:05:30-05:00,42,30,38,,30,30,42,,,30,21,30,,30,17,21,38
2023-05-28T01:06:00-05:00,42,30,38,,25,30,46,,,30,25,30,,30,21,21,34
2023-05-28T01:06:30-05:00,42,30,38,,34,30,46,,,30,21,25,,25,21,21,34
2023-05-28T01:07:00-05:00,38,30,34,,30,30,42,,,30,21,30,,25,13,21,38
2023-05-28T01:07:30-05:00,34,30,38,,30,30,42,,,25,21,30,,25,13,21,38
2023-05-28T01:08:00-05:00,38,30,42,,34,30,42,,,25,21,30,,25,17,25,38
2023-05-28T01:08:30-05:00,38,34,,,25,42,42,,,30,25,30,,30,25,25,42
2023-05-28T01:09:00-05:00,38,30,38,,34,42,42,,,30,25,30,,30,17,21,38
2023-05-28T01:09:30-05:00,42,30,,,34,38,46,,,25,30,30,,30,25,25,38
2023-05-28T01:10:00-05:00,42,30,38,,30,34,46,,,25,25,30,,25,21,21,38
2023-05-28T01:10:30-05:00,38,30,66,,30,34,46,,,25,21,30,,25,30,21,42
2023-05-28T01:11:00-05:00,38,30,55,,34,34,42,,,25,25,30,,30,13,21,34
2023-05-28T01:11:30-05:00,38,30,50,,30,34,46,,,30,30,30,,30,17,21,38
2023-05-28T01:12:00-05:00,42,34,,,30,34,42,,,25,25,30,,30,21,25,38
2023-05-28T01:12:30-05:00,38,30,64,,30,30,46,,,25,21,30,,30,21,21,38
2023-05-28T01:13:00-05:00,38,30,,,25,34,46,,,25,25,30,,25,21,25,38
2023-05-28T01:13:30-05:00,38,30,64,,25,34,42,,,30,25,30,,25,21,21,38
2023-05-28T01:14:00-05:00,38,30,66,,25,34,46,,,30,25,30,,25,13,21,38
2023-05-28T01:14:30-05:00,38,30,66,,25,30,46,,,25,25,30,,30,17,21,38
2023-05-28T01:15:00-05:00,42,30,68,,30,34,46,,,30,25,30,,30,21,25,38
2023-05-28T01:15:30-05:00,42,34,,,30,30,42,,,25,21,25,,25,17,25,38
2023-05-28T01:16:00-05:00,42,34,64,,30,34,46,,,30,25,30,,30,25,25,42
2023-05-28T01:16:30-05:00,42,30,,,30,30,46,,,30,25,30,,25,21,30,38
2023-05-28T01:17:00-05:00,38,30,,,25,34,50,,,30,25,30,,30,17,30,34
2023-05-28T01:17:30-05:00,42,30,66,,30,34,46,,,30,30,30,,30,21,30,38
2023-05-28T01:18:00-05:00,38,30,55,,30,34,46,,,34,21,30,,30,21,25,38
2023-05-28T01:18:30-05:00,38,30,50,,30,34,46,,,34,21,30,,30,13,25,38
2023-05-28T01:19:00-05:00,38,34,50,,30,34,46,,,34,25,30,,25,17,25,38
2023-05-28T01:19:30-05:00,34,30,46,,25,34,46,,,34,25,30,,25,13,30,38
2023-05-28T01:20:00-05:00,34,30,50,,25,34,42,,,30,25,30,,30,13,25,38
2023-05-28T01:20:30-05:00,34,30,55,,30,34,46,,,25,25,34,,30,17,25,38
2023-05-28T01:21:00-05:00,38,30,50,,30,38,42,,,30,21,34,,30,21,30,42
2023-05-28T01:21:30-05:00,34,30,55,,30,38,46,,,30,25,38,,25,21,25,38
2023-05-28T01:22:00-05:00,34,30,50,,30,,42,,,30,25,42,,25,17,30,38
2023-05-28T01:22:30-05:00,34,30,46,,30,34,46,,,34,30,42,,21,21,25,38
2023-05-28T01:23:00-05:00,34,30,42,,30,34,46,,,30,25,42,,25,17,25,42
2023-05-28T01:23:30-05:00,38,30,46,,25,34,46,,,34,21,42,,21,13,25,42
2023-05-28T01:24:00-05:00,38,30,38,,25,38,46,,,30,25,46,,25,21,30,42
2023-05-28T01:24:30-05:00,38,30,38,,30,46,46,,,30,25,46,,30,17,30,38
2023-05-28T01:25:00-05:00,38,30,38,,30,38,46,,,30,25,50,,25,21,25,42
2023-05-28T01:25:30-05:00,38,30,46,,30,42,50,,,30,25,50,,30,17,25,38
2023-05-28T01:26:00-05:00,38,30,42,,30,38,46,,,25,25,50,,25,13,25,38
2023-05-28T01:26:30-05:00,38,30,42,,30,38,46,,,30,25,46,,25,17,25,38
2023-05-28T01:27:00-05:00,38,30,42,,30,34,42,,,30,25,46,,25,17,25,42
2023-05-28T01:27:30-05:00,34,30,46,,30,38,46,,,25,25,50,,25,21,25,38
2023-05-28T01:28:00-05:00,34,30,60,,30,34,50,,,30,30,53,,30,17,25,38
2023-05-28T01:28:30-05:00,38,30,55,,30,38,46,,,30,21,53,,21,13,25,42
2023-05-28T01:29:00-05:00,38,30,50,,30,34,42,,,21,25,53,,25,13,25,42
2023-05-28T01:29:30-05:00,38,30,46,,34,38,42,,,30,25,53,,30,17,30,38
2023-05-28T01:30:00-05:00,38,34,42,,34,38,46,,,25,25,50,,30,21,30,46
2023-05-28T01:30:30-05:00,38,30,42,,34,38,42,,,25,25,50,,30,17,30,46
2023-05-28T01:31:00-05:00,38,34,42,,34,34,42,,,21,25,50,,30,21,25,46
2023-05-28T01:31:30-05:00,38,30,38,,30,38,46,,,17,21,50,,30,17,25,42
2023-05-28T01:32:00-05:00,34,30,46,,30,42,46,,,17,25,50,,30,17,30,42
2023-05-28T01:32:30-05:00,38,25,46,,38,38,46,,,21,25,38,,25,21,25,38
2023-05-28T01:33:00-05:00,34,30,46,,38,34,42,,,17,21,42,,25,21,25,38
2023-05-28T01:33:30-05:00,34,30,46,,34,34,46,,,21,25,42,,25,17,25,42
2023-05-28T01:34:00-05:00,34,30,46,,34,38,46,,,21,25,38,,25,17,25,38
2023-05-28T01:34:30-05:00,38,30,81,,34,38,46,,,25,21,42,,30,13,25,38
2023-05-28T01:35:00-05:00,38,30,,,30,38,46,,,25,21,42,,30,17,25,38
2023-05-28T01:35:30-05:00,38,30,77,,30,34,46,,,25,21,38,,25,17,21,42
2023-05-28T01:36:00-05:00,34,30,79,,30,38,46,,,25,21,38,,25,17,21,38
2023-05-28T01:36:30-05:00,38,30,70,,34,38,46,,,21,21,38,,25,21,21,42
2023-05-28T01:37:00-05:00,38,30,66,,30,34,46,,,21,21,38,,30,17,21,38
2023-05-28T01:37:30-05:00,38,30,66,,34,38,46,,,25,21,42,,25,17,21,38
2023-05-28T01:38:00-05:00,34,25,66,,34,38,46,,,21,17,38,,25,17,,42
2023-05-28T01:38:30-05:00,38,30,58,,38,38,50,,,17,21,38,,25,13,25,42
2023-05-28T01:39:00-05:00,38,30,58,,38,34,46,,,21,21,38,,30,21,30,38
2023-05-28T01:39:30-05:00,38,30,55,,38,38,42,,,21,21,34,,30,17,,42
2023-05-28T01:40:00-05:00,38,30,50,,38,38,46,,,21,21,34,,30,21,25,38
2023-05-28T01:40:30-05:00,42,30,46,,38,34,46,,,21,17,34,,25,17,25,38
2023-05-28T01:41:00-05:00,42,30,50,,38,38,46,,,21,17,34,,30,21,21,42
2023-05-28T01:41:30-05:00,38,30,42,,42,38,46,,,17,21,34,,25,21,25,38
2023-05-28T01:42:00-05:00,34,30,46,,42,38,46,,,17,21,38,,25,21,25,38
2023-05-28T01:42:30-05:00,42,34,42,,42,42,50,,,21,21,38,,25,13,21,42
2023-05-28T01:43:00-05:00,42,30,42,,38,38,46,,,17,21,34,,25,21,25,42
2023-05-28T01:43:30-05:00,34,,42,,38,42,46,,,17,21,30,,30,21,25,42
2023-05-28T01:44:00-05:00,42,,42,,38,42,50,,,17,21,34,,25,17,25,38
2023-05-28T01:44:30-05:00,38,,46,,38,42,50,,,17,17,30,,30,21,25,38
2023-05-28T01:45:00-05:00,38,,46,,38,42,50,,,17,17,30,,30,17,30,38
2023-05-28T01:45:30-05:00,38,,46,,38,34,53,,,17,17,30,,30,25,25,42
2023-05-28T01:46:00-05:00,42,,50,,34,38,58,,,17,17,30,,30,17,25,42
2023-05-28T01:46:30-05:00,38,,46,,38,38,53,,,17,21,30,,30,30,25,42
2023-05-28T01:47:00-05:00,38,,53,,38,30,58,,,21,17,30,,30,21,25,38
2023-05-28T01:47:30-05:00,38,,50,,38,34,58,,,17,17,30,,30,17,21,38
2023-05-28T01:48:00-05:00,38,,53,,42,34,55,,,21,17,30,,30,25,21,42
2023-05-28T01:48:30-05:00,42,,50,,46,38,55,,,21,17,25,,30,17,21,38
2023-05-28T01:49:00-05:00,42,,46,,42,38,55,,,21,17,25,,34,17,17,34
2023-05-28T01:49:30-05:00,42,,46,,42,42,58,,,17,17,30,,25,25,25,38
2023-05-28T01:50:00-05:00,42,,46,,,38,58,,,17,17,34,,30,17,21,38
2023-05-28T01:50:30-05:00,38,,46,,,38,58,,,17,13,30,,,25,21,38
2023-05-28T01:51:00-05:00,38,,50,,,38,60,,,17,13,30,,25,17,21,38
