DATETIME,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE,TANGARA_307A
2023-11-02 01:00:00-05:00,81.24,79.49,77.1,67.83,85.19,79.6,99.9,99.9,71.56,80.86,
2023-11-02 01:00:30-05:00,81.3,79.62,77.17,68.04,85.34,79.63,99.9,99.9,71.53,81.02,
2023-11-02 01:01:00-05:00,81.27,79.91,77.15,68.56,85.41,79.61,,99.9,71.51,80.41,
2023-11-02 01:01:30-05:00,81.27,79.91,77.14,67.95,85.42,79.67,99.9,99.9,71.53,80.8,
2023-11-02 01:02:00-05:00,81.52,79.89,77.22,67.61,85.52,79.65,99.9,99.9,71.7,80.75,
2023-11-02 01:02:30-05:00,81.32,79.77,77.38,67.59,85.31,79.46,99.9,99.9,71.62,80.81,
2023-11-02 01:03:00-05:00,81.33,79.56,77.2,67.66,85.04,79.58,99.9,99.9,71.53,80.63,
2023-11-02 01:03:30-05:00,81.31,79.74,77.21,68.56,84.46,79.49,99.9,99.9,71.52,81.55,
2023-11-02 01:04:00-05:00,81.18,79.78,77.11,68.15,84.42,79.41,99.9,99.9,71.65,81.23,
2023-11-02 01:04:30-05:00,81.17,79.71,77.02,67.7,84.35,79.32,99.9,99.9,71.47,81.26,
2023-11-02 01:05:00-05:00,81.2,79.8,77.0,67.78,84.23,79.28,99.9,99.9,71.47,80.83,
2023-11-02 01:05:30-05:00,81.14,79.43,76.97,67.79,84.25,79.12,99.9,99.9,71.58,79.74,
2023-11-02 01:06:00-05:00,81.26,79.07,76.91,68.33,84.6,79.09,99.9,99.9,71.55,80.51,
2023-11-02 01:06:30-05:00,81.11,79.35,76.85,68.12,84.82,79.26,99.9,99.9,71.54,79.79,
2023-11-02 01:07:00-05:00,81.21,79.45,76.8,68.11,84.64,79.32,99.9,99.9,71.55,80.4,
2023-11-02 01:07:30-05:00,81.34,79.75,76.71,68.33,84.64,79.12,99.9,99.9,71.59,79.88,
2023-11-02 01:08:00-05:00,81.3,79.68,76.69,68.43,84.51,79.0,99.9,99.9,71.61,80.12,
2023-11-02 01:08:30-05:00,81.41,79.91,76.68,67.66,84.62,78.9,99.9,99.9,71.61,79.99,
2023-11-02 01:09:00-05:00,81.24,79.66,76.55,68.11,84.8,78.88,99.9,99.9,71.54,80.1,
2023-11-02 01:09:30-05:00,80.99,79.59,76.49,67.97,85.06,78.89,99.9,99.9,71.57,80.54,
2023-11-02 01:10:00-05:00,80.9,79.58,76.5,67.47,84.92,78.95,99.9,99.9,71.54,80.85,
2023-11-02 01:10:30-05:00,80.88,79.84,76.66,67.69,84.75,78.83,99.9,99.9,71.58,80.69,
2023-11-02 01:11:00-05:00,80.91,79.71,76.83,67.8,84.77,78.85,99.9,99.9,71.63,80.31,
2023-11-02 01:11:30-05:00,81.12,79.71,76.86,67.64,84.52,78.88,,99.9,71.65,80.56,
2023-11-02 01:12:00-05:00,81.18,79.65,76.78,67.63,84.55,79.01,99.9,99.9,71.68,80.5,
2023-11-02 01:12:30-05:00,81.29,79.72,76.94,67.27,84.6,,99.9,99.9,71.77,81.07,
2023-11-02 01:13:00-05:00,81.52,79.59,77.06,67.3,84.83,79.1,99.9,99.9,71.81,80.75,
2023-11-02 01:13:30-05:00,81.21,79.55,77.06,67.65,84.89,79.16,99.9,99.9,71.87,80.21,
2023-11-02 01:14:00-05:00,81.31,79.58,77.15,67.31,84.84,79.1,99.9,99.9,71.85,80.87,
2023-11-02 01:14:30-05:00,81.37,79.5,77.18,67.61,84.95,79.13,99.9,99.9,71.91,80.02,
2023-11-02 01:15:00-05:00,81.39,79.45,77.11,67.52,84.67,79.14,99.9,99.9,71.92,80.25,
2023-11-02 01:15:30-05:00,81.26,79.37,77.1,67.48,84.45,79.3,99.9,99.9,71.93,80.6,
2023-11-02 01:16:00-05:00,81.26,79.74,77.02,67.98,84.31,79.54,99.9,99.9,72.05,80.11,
2023-11-02 01:16:30-05:00,81.25,79.58,76.98,68.02,84.48,79.4,99.9,99.9,72.05,79.73,
2023-11-02 01:17:00-05:00,81.14,79.68,76.97,67.74,84.77,79.52,99.9,99.9,72.02,80.46,
2023-11-02 01:17:30-05:00,81.11,79.72,77.01,68.23,84.9,79.46,99.9,99.9,72.02,79.91,
2023-11-02 01:18:00-05:00,81.19,79.55,77.07,67.26,85.0,79.27,99.9,99.9,71.94,80.62,
2023-11-02 01:18:30-05:00,81.12,79.98,77.07,67.78,85.31,79.3,99.9,99.9,71.85,80.19,
2023-11-02 01:19:00-05:00,81.11,80.07,77.15,67.96,85.4,79.35,99.9,99.9,71.81,80.09,
2023-11-02 01:19:30-05:00,81.17,79.91,77.22,67.99,85.5,79.38,99.9,99.9,71.72,79.57,
2023-11-02 01:20:00-05:00,81.22,80.07,77.25,68.2,85.33,79.43,99.9,99.9,71.67,79.37,
2023-11-02 01:20:30-05:00,81.36,79.76,77.21,67.8,85.41,79.47,99.9,99.9,71.74,79.42,
2023-11-02 01:21:00-05:00,81.26,79.82,77.2,67.41,85.4,79.57,99.9,99.9,71.72,80.13,
2023-11-02 01:21:30-05:00,81.23,79.67,77.2,67.51,85.19,79.53,99.9,99.9,71.76,80.48,
2023-11-02 01:22:00-05:00,80.99,79.75,77.14,68.37,85.27,79.46,,99.9,71.74,80.12,
2023-11-02 01:22:30-05:00,80.98,80.05,77.13,68.01,85.24,79.44,99.9,99.9,71.72,79.78,
2023-11-02 01:23:00-05:00,80.73,79.94,77.1,67.52,85.24,79.6,99.9,99.9,71.75,79.56,
2023-11-02 01:23:30-05:00,80.9,79.82,76.99,67.65,85.23,79.54,99.9,99.9,71.67,80.22,
2023-11-02 01:24:00-05:00,81.01,79.8,77.01,67.74,85.15,79.49,99.9,99.9,71.6,80.36,
2023-11-02 01:24:30-05:00,80.94,79.82,76.96,67.48,85.13,79.6,99.9,99.9,71.6,80.63,
2023-11-02 01:25:00-05:00,80.95,79.7,76.96,68.48,85.08,79.4,99.9,99.9,71.57,79.17,
2023-11-02 01:25:30-05:00,80.8,79.75,76.89,68.32,85.05,79.41,99.9,99.9,71.58,79.21,
2023-11-02 01:26:00-05:00,80.82,,76.86,68.25,84.98,79.28,99.9,99.9,71.58,79.94,
2023-11-02 01:26:30-05:00,80.77,79.88,76.8,68.69,84.95,79.35,99.9,99.9,71.66,80.26,
2023-11-02 01:27:00-05:00,80.63,79.68,76.83,68.58,84.96,79.16,99.9,99.9,71.72,80.13,
2023-11-02 01:27:30-05:00,80.64,79.71,,68.29,84.87,79.01,99.9,99.9,71.61,79.72,
2023-11-02 01:28:00-05:00,80.64,,76.8,68.11,84.77,79.0,99.9,99.9,71.59,80.57,
2023-11-02 01:28:30-05:00,80.49,79.82,76.89,67.75,84.6,,99.9,99.9,71.64,79.91,
2023-11-02 01:29:00-05:00,80.49,79.9,76.99,68.47,84.75,78.97,99.9,99.9,71.66,79.93,
2023-11-02 01:29:30-05:00,80.48,80.17,77.02,68.57,84.77,79.04,99.9,99.9,71.68,79.99,
2023-11-02 01:30:00-05:00,80.5,79.67,77.04,67.69,84.69,78.91,99.9,99.9,71.54,79.86,
2023-11-02 01:30:30-05:00,80.45,79.67,77.06,68.08,84.28,78.89,99.9,99.9,71.59,79.96,
2023-11-02 01:31:00-05:00,80.31,79.36,77.05,67.88,84.53,78.85,99.9,99.9,71.57,80.59,
2023-11-02 01:31:30-05:00,80.38,79.34,77.05,67.88,84.8,78.95,99.9,99.9,71.66,80.33,
2023-11-02 01:32:00-05:00,80.4,79.33,77.04,67.84,84.86,78.94,,99.9,71.7,80.49,
2023-11-02 01:32:30-05:00,80.39,79.37,,68.09,84.95,78.79,99.9,99.9,71.74,80.26,
2023-11-02 01:33:00-05:00,80.61,79.45,77.04,68.54,84.64,78.79,99.9,99.9,71.77,80.22,
2023-11-02 01:33:30-05:00,80.33,79.51,76.94,68.58,84.59,78.84,99.9,99.9,71.62,80.29,
2023-11-02 01:34:00-05:00,80.25,79.46,,68.25,84.54,79.0,99.9,99.9,71.57,80.35,
2023-11-02 01:34:30-05:00,80.2,79.67,76.93,68.02,84.7,78.75,99.9,99.9,71.55,80.28,
2023-11-02 01:35:00-05:00,80.14,79.43,77.02,68.47,84.67,78.71,99.9,99.9,71.56,80.65,
2023-11-02 01:35:30-05:00,80.14,79.33,77.02,68.42,84.74,78.62,99.9,99.9,71.6,80.76,
2023-11-02 01:36:00-05:00,80.14,79.36,77.03,67.87,84.47,78.61,99.9,99.9,71.6,80.67,
2023-11-02 01:36:30-05:00,80.24,79.33,77.16,68.07,84.47,78.69,99.9,99.9,71.61,80.26,
2023-11-02 01:37:00-05:00,80.23,79.24,77.1,68.22,84.62,78.71,99.9,99.9,71.85,80.59,
2023-11-02 01:37:30-05:00,80.31,79.08,77.14,68.15,84.63,79.1,99.9,99.9,71.89,80.42,
2023-11-02 01:38:00-05:00,80.59,79.23,77.07,68.32,84.67,78.7,99.9,99.9,71.93,80.55,
2023-11-02 01:38:30-05:00,80.64,79.47,,68.36,84.8,78.61,99.9,99.9,72.04,81.08,
2023-11-02 01:39:00-05:00,80.38,79.48,77.13,69.08,84.73,78.65,99.9,99.9,72.04,81.13,
2023-11-02 01:39:30-05:00,80.35,79.45,77.27,67.75,84.76,78.55,99.9,99.9,72.07,80.96,
2023-11-02 01:40:00-05:00,80.24,79.49,77.36,68.08,84.76,78.66,99.9,99.9,71.97,81.16,
2023-11-02 01:40:30-05:00,80.24,79.72,77.53,68.43,84.75,78.65,,99.9,71.96,81.04,
2023-11-02 01:41:00-05:00,80.34,80.03,77.52,68.92,84.88,78.65,99.9,99.9,71.94,81.0,
2023-11-02 01:41:30-05:00,80.29,79.75,77.52,68.69,84.89,78.64,99.9,99.9,71.91,80.56,
2023-11-02 01:42:00-05:00,80.34,80.06,77.33,68.15,84.85,78.71,99.9,99.9,71.89,80.52,
2023-11-02 01:42:30-05:00,80.33,79.85,76.98,68.91,84.98,78.78,,99.9,71.81,80.29,
2023-11-02 01:43:00-05:00,80.31,79.7,77.06,68.85,85.18,78.8,99.9,99.9,71.85,80.9,
2023-11-02 01:43:30-05:00,80.34,79.65,76.78,68.87,85.32,79.02,99.9,99.9,71.84,80.29,
2023-11-02 01:44:00-05:00,80.15,79.54,76.75,68.8,85.18,79.42,99.9,99.9,71.82,80.17,
2023-11-02 01:44:30-05:00,80.12,79.59,,68.69,85.37,79.19,99.9,99.9,71.82,79.93,
2023-11-02 01:45:00-05:00,80.24,79.57,76.68,68.16,85.52,79.16,99.9,99.9,71.7,79.95,
2023-11-02 01:45:30-05:00,80.22,79.65,76.33,68.3,85.22,79.0,99.9,99.9,71.52,80.38,
2023-11-02 01:46:00-05:00,80.27,79.49,76.3,68.53,85.14,78.88,99.9,99.9,71.46,79.53,
2023-11-02 01:46:30-05:00,80.3,79.64,76.37,68.13,85.23,78.92,99.9,99.9,71.47,80.65,
2023-11-02 01:47:00-05:00,80.23,79.85,76.54,68.2,85.19,79.04,99.9,99.9,71.47,80.68,
2023-11-02 01:47:30-05:00,80.21,79.8,,68.46,85.03,78.94,99.9,99.9,71.58,80.47,
2023-11-02 01:48:00-05:00,80.17,79.98,76.58,68.61,85.25,78.8,99.9,99.9,71.66,80.04,
2023-11-02 01:48:30-05:00,80.1,79.82,76.7,68.41,85.01,78.72,99.9,99.9,71.75,80.73,
2023-11-02 01:49:00-05:00,80.18,80.18,76.77,68.33,85.04,78.8,99.9,99.9,71.71,81.1,
2023-11-02 01:49:30-05:00,80.3,79.95,76.71,68.57,85.16,78.74,99.9,99.9,71.71,80.91,
2023-11-02 01:50:00-05:00,80.49,80.44,76.68,68.43,85.16,78.81,99.9,99.9,71.72,80.7,
2023-11-02 01:50:30-05:00,80.53,80.6,76.73,68.22,85.16,78.72,99.9,99.9,71.78,80.65,
2023-11-02 01:51:00-05:00,80.45,80.71,76.66,67.94,85.15,78.55,99.9,99.9,71.73,80.88,
2023-11-02 01:51:30-05:00,80.47,80.4,76.54,68.17,85.29,78.46,99.9,99.9,71.7,80.96,
2023-11-02 01:52:00-05:00,80.56,80.38,76.44,67.92,85.29,78.4,99.9,99.9,71.73,81.1,
2023-11-02 01:52:30-05:00,80.56,80.32,76.52,67.76,85.32,78.43,99.9,99.9,71.74,81.14,
2023-11-02 01:53:00-05:00,80.65,80.52,76.46,67.67,85.45,78.47,99.9,99.9,71.57,80.61,
2023-11-02 01:53:30-05:00,80.69,80.31,76.62,67.42,85.36,78.69,99.9,99.9,71.44,80.04,
2023-11-02 01:54:00-05:00,80.71,80.51,76.63,67.93,85.13,78.48,99.9,99.9,71.33,81.03,
2023-11-02 01:54:30-05:00,80.61,,76.71,67.5,85.23,78.27,,99.9,71.3,80.28,
2023-11-02 01:55:00-05:00,80.74,80.18,76.64,67.5,85.28,78.29,99.9,99.9,71.3,80.31,
2023-11-02 01:55:30-05:00,80.74,80.18,76.58,67.32,85.13,,99.9,99.9,71.37,80.69,
2023-11-02 01:56:00-05:00,80.75,80.23,76.62,67.83,84.92,78.25,99.9,99.9,71.4,80.51,
2023-11-02 01:56:30-05:00,80.56,80.1,76.68,67.94,85.13,78.65,99.9,99.9,71.36,79.91,
2023-11-02 01:57:00-05:00,80.52,80.02,76.79,68.12,84.93,78.83,99.9,99.9,71.35,80.79,
2023-11-02 01:57:30-05:00,80.61,79.99,76.91,68.12,85.11,78.9,99.9,99.9,71.35,80.05,
2023-11-02 01:58:00-05:00,80.64,79.83,77.01,68.04,84.99,78.95,99.9,99.9,71.38,80.29,
2023-11-02 01:58:30-05:00,80.82,79.89,77.07,67.9,85.07,78.99,99.9,99.9,71.44,80.57,
2023-11-02 01:59:00-05:00,80.58,79.86,76.98,67.79,85.4,79.0,99.9,99.9,71.36,80.19,
