DATETIME,TANGARA_260A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE,TANGARA_4B1A
2023-11-08 00:14:30-05:00,10.0,14.0,11.0,11.0,12.0,5.0,10.0,11.0,
2023-11-08 00:15:00-05:00,11.0,15.0,11.0,29.0,13.0,6.0,10.0,12.0,
2023-11-08 00:15:30-05:00,10.0,14.0,12.0,19.0,12.0,4.0,10.0,12.0,
2023-11-08 00:16:00-05:00,9.0,14.0,11.0,11.0,11.0,7.0,9.0,12.0,
2023-11-08 00:16:30-05:00,10.0,13.0,11.0,12.0,11.0,8.0,8.0,14.0,
2023-11-08 00:17:00-05:00,10.0,13.0,11.0,11.0,12.0,4.0,9.0,13.0,
2023-11-08 00:17:30-05:00,10.0,14.0,12.0,11.0,12.0,4.0,10.0,12.0,
2023-11-08 00:18:00-05:00,10.0,14.0,12.0,12.0,12.0,6.0,9.0,12.0,
2023-11-08 00:18:30-05:00,10.0,13.0,12.0,13.0,12.0,8.0,9.0,12.0,
2023-11-08 00:19:00-05:00,10.0,13.0,12.0,12.0,11.0,5.0,10.0,13.0,
2023-11-08 00:19:30-05:00,10.0,12.0,11.0,10.0,12.0,5.0,12.0,12.0,
2023-11-08 00:20:00-05:00,10.0,12.0,12.0,11.0,12.0,6.0,12.0,13.0,
2023-11-08 00:20:30-05:00,10.0,13.0,13.0,9.0,12.0,5.0,12.0,12.0,
2023-11-08 00:21:00-05:00,9.0,13.0,,9.0,12.0,7.0,13.0,12.0,
2023-11-08 00:21:30-05:00,10.0,13.0,,11.0,12.0,4.0,14.0,12.0,
2023-11-08 00:22:00-05:00,11.0,13.0,,10.0,12.0,7.0,13.0,12.0,
2023-11-08 00:22:30-05:00,11.0,,,11.0,12.0,6.0,16.0,13.0,
2023-11-08 00:23:00-05:00,10.0,12.0,,10.0,12.0,6.0,16.0,12.0,
2023-11-08 00:23:30-05:00,10.0,12.0,,,12.0,5.0,16.0,11.0,
2023-11-08 00:24:00-05:00,10.0,12.0,,10.0,11.0,8.0,18.0,12.0,
2023-11-08 00:24:30-05:00,10.0,12.0,,10.0,11.0,8.0,19.0,11.0,
2023-11-08 00:25:00-05:00,9.0,12.0,,11.0,11.0,7.0,19.0,12.0,
2023-11-08 00:25:30-05:00,10.0,12.0,,9.0,11.0,8.0,20.0,12.0,
2023-11-08 00:26:00-05:00,9.0,12.0,,9.0,12.0,8.0,20.0,12.0,
2023-11-08 00:26:30-05:00,10.0,12.0,,9.0,12.0,8.0,19.0,12.0,
2023-11-08 00:27:00-05:00,10.0,11.0,,8.0,12.0,9.0,20.0,11.0,
2023-11-08 00:27:30-05:00,10.0,11.0,,9.0,11.0,5.0,20.0,10.0,
2023-11-08 00:28:00-05:00,10.0,12.0,,8.0,12.0,8.0,19.0,12.0,
2023-11-08 00:28:30-05:00,9.0,11.0,,10.0,12.0,9.0,17.0,12.0,
2023-11-08 00:29:00-05:00,10.0,10.0,,9.0,12.0,9.0,17.0,12.0,
2023-11-08 00:29:30-05:00,10.0,10.0,,9.0,11.0,9.0,16.0,12.0,
2023-11-08 00:30:00-05:00,11.0,10.0,,10.0,12.0,9.0,18.0,11.0,
2023-11-08 00:30:30-05:00,11.0,10.0,,9.0,11.0,8.0,19.0,11.0,
2023-11-08 00:31:00-05:00,11.0,10.0,,10.0,11.0,8.0,17.0,10.0,
2023-11-08 00:31:30-05:00,11.0,10.0,,11.0,11.0,6.0,18.0,11.0,
2023-11-08 00:32:00-05:00,10.0,10.0,,9.0,10.0,6.0,18.0,11.0,
2023-11-08 00:32:30-05:00,11.0,11.0,,10.0,11.0,7.0,17.0,11.0,
2023-11-08 00:33:00-05:00,12.0,11.0,,11.0,12.0,7.0,17.0,12.0,
2023-11-08 00:33:30-05:00,12.0,11.0,,10.0,12.0,6.0,17.0,12.0,
2023-11-08 00:34:00-05:00,16.0,11.0,,,12.0,5.0,16.0,11.0,
2023-11-08 00:34:30-05:00,16.0,11.0,,9.0,12.0,7.0,17.0,11.0,
2023-11-08 00:35:00-05:00,16.0,11.0,,10.0,12.0,7.0,16.0,11.0,
2023-11-08 00:35:30-05:00,16.0,11.0,,10.0,12.0,6.0,16.0,12.0,
2023-11-08 00:36:00-05:00,18.0,11.0,,12.0,11.0,6.0,16.0,11.0,
2023-11-08 00:36:30-05:00,18.0,9.0,,11.0,12.0,8.0,16.0,11.0,
2023-11-08 00:37:00-05:00,18.0,11.0,,11.0,11.0,7.0,16.0,10.0,
2023-11-08 00:37:30-05:00,17.0,10.0,,10.0,12.0,4.0,15.0,12.0,
2023-11-08 00:38:00-05:00,17.0,10.0,,9.0,,4.0,16.0,11.0,
2023-11-08 00:38:30-05:00,15.0,11.0,,10.0,12.0,5.0,16.0,11.0,
2023-11-08 00:39:00-05:00,14.0,11.0,,9.0,12.0,6.0,16.0,11.0,
2023-11-08 00:39:30-05:00,14.0,11.0,,11.0,11.0,8.0,15.0,12.0,
2023-11-08 00:40:00-05:00,13.0,10.0,,10.0,12.0,7.0,15.0,12.0,
2023-11-08 00:40:30-05:00,13.0,10.0,,12.0,11.0,4.0,14.0,11.0,
2023-11-08 00:41:00-05:00,12.0,10.0,,12.0,11.0,6.0,12.0,11.0,
2023-11-08 00:41:30-05:00,12.0,10.0,,11.0,11.0,4.0,13.0,12.0,
2023-11-08 00:42:00-05:00,12.0,10.0,,12.0,11.0,5.0,12.0,11.0,
2023-11-08 00:42:30-05:00,13.0,10.0,,11.0,13.0,6.0,12.0,11.0,
2023-11-08 00:43:00-05:00,11.0,9.0,,10.0,12.0,4.0,12.0,11.0,
2023-11-08 00:43:30-05:00,11.0,9.0,,10.0,12.0,5.0,12.0,11.0,
2023-11-08 00:44:00-05:00,12.0,10.0,,11.0,12.0,4.0,11.0,11.0,
2023-11-08 00:44:30-05:00,11.0,10.0,,10.0,12.0,4.0,11.0,12.0,
2023-11-08 00:45:00-05:00,12.0,10.0,,9.0,12.0,5.0,11.0,11.0,
2023-11-08 00:45:30-05:00,11.0,10.0,,11.0,12.0,6.0,10.0,11.0,
2023-11-08 00:46:00-05:00,10.0,10.0,,,11.0,6.0,10.0,11.0,
2023-11-08 00:46:30-05:00,11.0,10.0,,10.0,11.0,11.0,9.0,11.0,
2023-11-08 00:47:00-05:00,10.0,10.0,,10.0,11.0,10.0,9.0,11.0,
2023-11-08 00:47:30-05:00,11.0,10.0,,10.0,11.0,8.0,10.0,11.0,
2023-11-08 00:48:00-05:00,10.0,10.0,,11.0,11.0,4.0,11.0,11.0,
2023-11-08 00:48:30-05:00,10.0,9.0,,12.0,11.0,7.0,10.0,11.0,
2023-11-08 00:49:00-05:00,10.0,10.0,,11.0,11.0,7.0,10.0,12.0,
2023-11-08 00:49:30-05:00,10.0,9.0,,9.0,10.0,5.0,10.0,12.0,
2023-11-08 00:50:00-05:00,10.0,9.0,,10.0,12.0,4.0,10.0,11.0,
2023-11-08 00:50:30-05:00,9.0,9.0,,10.0,11.0,5.0,9.0,11.0,
2023-11-08 00:51:00-05:00,10.0,10.0,,10.0,11.0,5.0,11.0,11.0,
2023-11-08 00:51:30-05:00,10.0,9.0,,11.0,11.0,5.0,10.0,11.0,
2023-11-08 00:52:00-05:00,10.0,9.0,,10.0,12.0,4.0,11.0,11.0,
2023-11-08 00:52:30-05:00,10.0,9.0,,11.0,12.0,5.0,10.0,12.0,
2023-11-08 00:53:00-05:00,10.0,9.0,,9.0,12.0,5.0,10.0,12.0,
2023-11-08 00:53:30-05:00,9.0,9.0,,11.0,12.0,5.0,9.0,12.0,
2023-11-08 00:54:00-05:00,10.0,9.0,,11.0,11.0,5.0,9.0,11.0,
2023-11-08 00:54:30-05:00,8.0,10.0,,10.0,12.0,4.0,9.0,12.0,
2023-11-08 00:55:00-05:00,9.0,10.0,,10.0,12.0,6.0,11.0,12.0,
2023-11-08 00:55:30-05:00,9.0,10.0,,10.0,11.0,5.0,10.0,11.0,
2023-11-08 00:56:00-05:00,9.0,10.0,,10.0,11.0,6.0,9.0,11.0,
2023-11-08 00:56:30-05:00,9.0,11.0,,9.0,10.0,6.0,8.0,11.0,
2023-11-08 00:57:00-05:00,10.0,10.0,,,11.0,4.0,8.0,13.0,
2023-11-08 00:57:30-05:00,10.0,10.0,,10.0,11.0,6.0,9.0,12.0,
2023-11-08 00:58:00-05:00,9.0,9.0,,10.0,12.0,7.0,9.0,13.0,
2023-11-08 00:58:30-05:00,10.0,11.0,,10.0,11.0,5.0,9.0,12.0,
2023-11-08 00:59:00-05:00,9.0,10.0,,11.0,12.0,5.0,9.0,11.0,
2023-11-08 00:59:30-05:00,9.0,10.0,,9.0,11.0,5.0,8.0,12.0,
2023-11-08 01:00:00-05:00,9.0,,,10.0,11.0,5.0,9.0,12.0,
2023-11-08 01:00:30-05:00,9.0,10.0,,9.0,11.0,5.0,9.0,12.0,
2023-11-08 01:01:00-05:00,9.0,10.0,,11.0,12.0,5.0,9.0,12.0,
2023-11-08 01:01:30-05:00,9.0,9.0,,12.0,11.0,6.0,9.0,12.0,
2023-11-08 01:02:00-05:00,9.0,10.0,,9.0,10.0,6.0,10.0,11.0,
2023-11-08 01:02:30-05:00,9.0,9.0,,11.0,10.0,7.0,11.0,12.0,
2023-11-08 01:03:00-05:00,9.0,9.0,,11.0,12.0,4.0,11.0,12.0,
2023-11-08 01:03:30-05:00,9.0,9.0,,10.0,11.0,5.0,11.0,12.0,
2023-11-08 01:04:00-05:00,10.0,9.0,,9.0,11.0,6.0,11.0,12.0,
2023-11-08 01:04:30-05:00,8.0,9.0,,9.0,11.0,6.0,11.0,11.0,
2023-11-08 01:05:00-05:00,8.0,9.0,,11.0,10.0,4.0,11.0,13.0,
2023-11-08 01:05:30-05:00,8.0,9.0,,10.0,10.0,6.0,12.0,12.0,
2023-11-08 01:06:00-05:00,10.0,9.0,,10.0,11.0,4.0,12.0,12.0,
2023-11-08 01:06:30-05:00,9.0,9.0,,10.0,11.0,5.0,12.0,12.0,
2023-11-08 01:07:00-05:00,9.0,10.0,,10.0,10.0,4.0,12.0,12.0,
2023-11-08 01:07:30-05:00,8.0,8.0,,10.0,11.0,5.0,11.0,11.0,
2023-11-08 01:08:00-05:00,9.0,8.0,,10.0,12.0,5.0,11.0,11.0,
2023-11-08 01:08:30-05:00,9.0,9.0,,10.0,12.0,5.0,12.0,12.0,
2023-11-08 01:09:00-05:00,9.0,8.0,,10.0,11.0,6.0,12.0,11.0,
2023-11-08 01:09:30-05:00,9.0,9.0,,,10.0,6.0,11.0,12.0,
2023-11-08 01:10:00-05:00,8.0,8.0,,10.0,10.0,7.0,11.0,12.0,
2023-11-08 01:10:30-05:00,9.0,9.0,,9.0,12.0,4.0,10.0,12.0,
2023-11-08 01:11:00-05:00,9.0,8.0,,10.0,11.0,4.0,10.0,12.0,
2023-11-08 01:11:30-05:00,9.0,8.0,,11.0,11.0,7.0,10.0,12.0,
2023-11-08 01:12:00-05:00,9.0,8.0,,12.0,11.0,5.0,10.0,11.0,
2023-11-08 01:12:30-05:00,9.0,8.0,,9.0,11.0,5.0,9.0,12.0,
2023-11-08 01:13:00-05:00,9.0,9.0,,10.0,11.0,5.0,10.0,12.0,
2023-11-08 01:13:30-05:00,9.0,8.0,,10.0,10.0,6.0,8.0,12.0,
2023-11-08 01:14:00-05:00,9.0,8.0,,10.0,11.0,5.0,8.0,12.0,
2023-11-08 01:14:30-05:00,9.0,9.0,,11.0,11.0,4.0,9.0,11.0,
2023-11-08 01:15:00-05:00,9.0,9.0,,10.0,11.0,6.0,8.0,11.0,
2023-11-08 01:15:30-05:00,9.0,9.0,,10.0,11.0,6.0,8.0,12.0,
2023-11-08 01:16:00-05:00,8.0,10.0,,10.0,11.0,6.0,8.0,13.0,
2023-11-08 01:16:30-05:00,8.0,10.0,,10.0,11.0,6.0,9.0,11.0,
2023-11-08 01:17:00-05:00,8.0,10.0,,10.0,11.0,7.0,8.0,12.0,
2023-11-08 01:17:30-05:00,9.0,11.0,,11.0,11.0,4.0,8.0,11.0,
2023-11-08 01:18:00-05:00,8.0,11.0,,11.0,11.0,7.0,8.0,11.0,
2023-11-08 01:18:30-05:00,9.0,11.0,,10.0,10.0,6.0,8.0,11.0,
2023-11-08 01:19:00-05:00,9.0,9.0,,10.0,11.0,6.0,7.0,12.0,
2023-11-08 01:19:30-05:00,8.0,10.0,,11.0,10.0,6.0,8.0,12.0,
2023-11-08 01:20:00-05:00,8.0,10.0,,,10.0,6.0,8.0,12.0,
2023-11-08 01:20:30-05:00,9.0,10.0,,12.0,10.0,3.0,7.0,12.0,
2023-11-08 01:21:00-05:00,8.0,10.0,,10.0,11.0,6.0,7.0,11.0,
2023-11-08 01:21:30-05:00,8.0,11.0,,11.0,10.0,5.0,7.0,11.0,
2023-11-08 01:22:00-05:00,8.0,11.0,,9.0,10.0,5.0,7.0,12.0,
2023-11-08 01:22:30-05:00,8.0,10.0,,9.0,10.0,6.0,7.0,11.0,
2023-11-08 01:23:00-05:00,8.0,10.0,,10.0,11.0,5.0,8.0,11.0,
2023-11-08 01:23:30-05:00,8.0,10.0,,12.0,11.0,7.0,8.0,11.0,
2023-11-08 01:24:00-05:00,9.0,9.0,,11.0,11.0,6.0,8.0,10.0,
2023-11-08 01:24:30-05:00,9.0,9.0,,10.0,,8.0,8.0,11.0,
2023-11-08 01:25:00-05:00,9.0,9.0,,11.0,10.0,6.0,7.0,11.0,
2023-11-08 01:25:30-05:00,8.0,10.0,,11.0,10.0,5.0,7.0,11.0,
2023-11-08 01:26:00-05:00,8.0,9.0,,10.0,10.0,5.0,7.0,11.0,
2023-11-08 01:26:30-05:00,8.0,10.0,,10.0,11.0,7.0,7.0,10.0,
2023-11-08 01:27:00-05:00,8.0,9.0,,11.0,10.0,7.0,7.0,11.0,
2023-11-08 01:27:30-05:00,8.0,9.0,,10.0,10.0,5.0,7.0,10.0,
2023-11-08 01:28:00-05:00,8.0,10.0,,11.0,11.0,6.0,8.0,10.0,
2023-11-08 01:28:30-05:00,8.0,,,11.0,11.0,5.0,8.0,11.0,
2023-11-08 01:29:00-05:00,8.0,10.0,,10.0,11.0,4.0,8.0,10.0,
2023-11-08 01:29:30-05:00,9.0,10.0,,11.0,10.0,6.0,8.0,10.0,
2023-11-08 01:30:00-05:00,9.0,9.0,,69.0,11.0,4.0,8.0,10.0,
2023-11-08 01:30:30-05:00,8.0,9.0,,18.0,10.0,4.0,8.0,10.0,
2023-11-08 01:31:00-05:00,8.0,9.0,,12.0,10.0,5.0,8.0,10.0,
2023-11-08 01:31:30-05:00,9.0,9.0,,11.0,11.0,5.0,7.0,9.0,
2023-11-08 01:32:00-05:00,10.0,9.0,,10.0,10.0,4.0,8.0,10.0,
2023-11-08 01:32:30-05:00,10.0,9.0,,,10.0,5.0,9.0,10.0,
2023-11-08 01:33:00-05:00,9.0,9.0,,10.0,10.0,5.0,8.0,10.0,
2023-11-08 01:33:30-05:00,,,,,,,,,
2023-11-08 01:34:00-05:00,9.0,9.0,,10.0,10.0,4.0,8.0,9.0,
2023-11-08 01:34:30-05:00,10.0,9.0,,10.0,10.0,4.0,9.0,,
2023-11-08 01:35:00-05:00,9.0,9.0,,10.0,10.0,3.0,9.0,10.0,
2023-11-08 01:35:30-05:00,10.0,10.0,,10.0,10.0,4.0,8.0,10.0,
2023-11-08 01:36:00-05:00,10.0,9.0,,10.0,10.0,5.0,8.0,,
2023-11-08 01:36:30-05:00,9.0,9.0,,11.0,11.0,5.0,9.0,,
2023-11-08 01:37:00-05:00,9.0,9.0,,10.0,10.0,4.0,9.0,10.0,
2023-11-08 01:37:30-05:00,10.0,8.0,,10.0,11.0,4.0,8.0,10.0,
2023-11-08 01:38:00-05:00,10.0,9.0,,10.0,11.0,3.0,8.0,10.0,
2023-11-08 01:38:30-05:00,11.0,9.0,,11.0,11.0,5.0,9.0,10.0,
2023-11-08 01:39:00-05:00,11.0,9.0,,11.0,10.0,4.0,9.0,10.0,
2023-11-08 01:39:30-05:00,10.0,9.0,,10.0,10.0,4.0,9.0,10.0,
2023-11-08 01:40:00-05:00,10.0,9.0,,11.0,11.0,4.0,9.0,,
2023-11-08 01:40:30-05:00,10.0,9.0,,11.0,10.0,5.0,8.0,10.0,
2023-11-08 01:41:00-05:00,10.0,9.0,,10.0,9.0,5.0,8.0,10.0,
2023-11-08 01:41:30-05:00,10.0,9.0,,,9.0,4.0,7.0,9.0,
2023-11-08 01:42:00-05:00,11.0,9.0,,10.0,11.0,5.0,8.0,10.0,
2023-11-08 01:42:30-05:00,10.0,9.0,,9.0,10.0,3.0,7.0,9.0,
2023-11-08 01:43:00-05:00,10.0,9.0,,11.0,10.0,4.0,6.0,10.0,
2023-11-08 01:43:30-05:00,9.0,9.0,,11.0,10.0,3.0,6.0,10.0,
2023-11-08 01:44:00-05:00,9.0,9.0,,9.0,10.0,3.0,6.0,11.0,
2023-11-08 01:44:30-05:00,11.0,9.0,,10.0,10.0,4.0,6.0,11.0,
2023-11-08 01:45:00-05:00,10.0,11.0,,10.0,10.0,6.0,6.0,10.0,
2023-11-08 01:45:30-05:00,11.0,9.0,,9.0,9.0,4.0,6.0,10.0,
2023-11-08 01:46:00-05:00,11.0,10.0,,10.0,9.0,5.0,7.0,10.0,
2023-11-08 01:46:30-05:00,10.0,10.0,,10.0,10.0,4.0,6.0,10.0,
2023-11-08 01:47:00-05:00,10.0,10.0,,10.0,10.0,5.0,6.0,10.0,
2023-11-08 01:47:30-05:00,10.0,10.0,,10.0,10.0,3.0,6.0,10.0,
2023-11-08 01:48:00-05:00,10.0,11.0,,9.0,10.0,4.0,6.0,10.0,
2023-11-08 01:48:30-05:00,10.0,10.0,,10.0,10.0,4.0,6.0,10.0,
2023-11-08 01:49:00-05:00,10.0,10.0,,10.0,10.0,4.0,6.0,11.0,
2023-11-08 01:49:30-05:00,11.0,10.0,,10.0,10.0,4.0,5.0,10.0,
2023-11-08 01:50:00-05:00,11.0,10.0,,9.0,10.0,3.0,6.0,10.0,
2023-11-08 01:50:30-05:00,11.0,10.0,,10.0,9.0,5.0,6.0,10.0,
2023-11-08 01:51:00-05:00,10.0,9.0,,9.0,10.0,5.0,5.0,11.0,
2023-11-08 01:51:30-05:00,9.0,11.0,,9.0,10.0,5.0,5.0,11.0,
2023-11-08 01:52:00-05:00,9.0,10.0,,9.0,11.0,5.0,5.0,10.0,
2023-11-08 01:52:30-05:00,9.0,9.0,,,10.0,6.0,5.0,,
2023-11-08 01:53:00-05:00,10.0,10.0,,10.0,9.0,4.0,6.0,11.0,
2023-11-08 01:53:30-05:00,10.0,10.0,,10.0,10.0,4.0,5.0,10.0,
2023-11-08 01:54:00-05:00,9.0,10.0,,9.0,11.0,7.0,5.0,10.0,
2023-11-08 01:54:30-05:00,11.0,10.0,,10.0,10.0,5.0,5.0,11.0,
2023-11-08 01:55:00-05:00,10.0,11.0,,9.0,10.0,6.0,6.0,10.0,
2023-11-08 01:55:30-05:00,10.0,10.0,,10.0,11.0,6.0,4.0,10.0,
2023-11-08 01:56:00-05:00,9.0,11.0,,10.0,11.0,4.0,5.0,,
2023-11-08 01:56:30-05:00,9.0,10.0,,10.0,11.0,4.0,5.0,10.0,
2023-11-08 01:57:00-05:00,10.0,10.0,,9.0,11.0,4.0,5.0,10.0,
2023-11-08 01:57:30-05:00,9.0,9.0,,10.0,9.0,4.0,5.0,10.0,
2023-11-08 01:58:00-05:00,11.0,9.0,,10.0,10.0,4.0,5.0,12.0,
2023-11-08 01:58:30-05:00,10.0,10.0,,9.0,10.0,4.0,5.0,10.0,
2023-11-08 01:59:00-05:00,10.0,10.0,,9.0,11.0,4.0,5.0,11.0,
2023-11-08 01:59:30-05:00,10.0,10.0,,9.0,10.0,6.0,5.0,,
2023-11-08 02:00:00-05:00,11.0,9.0,,9.0,10.0,6.0,5.0,10.0,
2023-11-08 02:00:30-05:00,10.0,9.0,,9.0,11.0,4.0,5.0,9.0,
2023-11-08 02:01:00-05:00,10.0,9.0,,10.0,11.0,6.0,5.0,11.0,
2023-11-08 02:01:30-05:00,10.0,10.0,,9.0,,5.0,4.0,10.0,
2023-11-08 02:02:00-05:00,9.0,9.0,,10.0,11.0,4.0,4.0,9.0,
2023-11-08 02:02:30-05:00,10.0,8.0,,9.0,11.0,5.0,5.0,10.0,
2023-11-08 02:03:00-05:00,11.0,8.0,,9.0,11.0,5.0,5.0,11.0,
2023-11-08 02:03:30-05:00,11.0,8.0,,,11.0,5.0,5.0,10.0,
2023-11-08 02:04:00-05:00,10.0,8.0,,9.0,10.0,6.0,6.0,11.0,
2023-11-08 02:04:30-05:00,10.0,7.0,,10.0,11.0,5.0,5.0,10.0,
2023-11-08 02:05:00-05:00,10.0,9.0,,9.0,10.0,4.0,5.0,11.0,
2023-11-08 02:05:30-05:00,9.0,9.0,,,10.0,4.0,5.0,10.0,
2023-11-08 02:06:00-05:00,11.0,7.0,,10.0,10.0,6.0,5.0,11.0,
2023-11-08 02:06:30-05:00,11.0,8.0,,10.0,11.0,6.0,5.0,11.0,
2023-11-08 02:07:00-05:00,10.0,8.0,,9.0,11.0,6.0,5.0,12.0,
2023-11-08 02:07:30-05:00,10.0,7.0,,9.0,10.0,6.0,5.0,12.0,
2023-11-08 02:08:00-05:00,10.0,8.0,,10.0,11.0,6.0,5.0,,
2023-11-08 02:08:30-05:00,10.0,7.0,,10.0,11.0,8.0,5.0,11.0,
2023-11-08 02:09:00-05:00,10.0,7.0,,9.0,11.0,6.0,5.0,10.0,
2023-11-08 02:09:30-05:00,10.0,8.0,,9.0,11.0,6.0,4.0,11.0,
2023-11-08 02:10:00-05:00,10.0,7.0,,9.0,10.0,6.0,4.0,11.0,
2023-11-08 02:10:30-05:00,9.0,7.0,,9.0,10.0,8.0,4.0,11.0,
2023-11-08 02:11:00-05:00,10.0,7.0,,9.0,11.0,6.0,5.0,11.0,
2023-11-08 02:11:30-05:00,9.0,7.0,,9.0,10.0,8.0,4.0,,
2023-11-08 02:12:00-05:00,9.0,7.0,,9.0,11.0,10.0,5.0,11.0,
2023-11-08 02:12:30-05:00,10.0,6.0,,8.0,11.0,12.0,4.0,11.0,
2023-11-08 02:13:00-05:00,10.0,6.0,,9.0,10.0,15.0,4.0,11.0,
2023-11-08 02:13:30-05:00,9.0,6.0,,9.0,11.0,15.0,5.0,,
2023-11-08 02:14:00-05:00,10.0,6.0,,9.0,11.0,21.0,5.0,11.0,
2023-11-08 02:14:30-05:00,9.0,6.0,,9.0,11.0,23.0,5.0,11.0,
2023-11-08 02:15:00-05:00,9.0,6.0,,,11.0,26.0,4.0,12.0,
2023-11-08 02:15:30-05:00,9.0,6.0,,8.0,11.0,27.0,4.0,12.0,
2023-11-08 02:16:00-05:00,9.0,6.0,,9.0,10.0,27.0,4.0,12.0,
2023-11-08 02:16:30-05:00,10.0,6.0,,9.0,10.0,26.0,5.0,12.0,
2023-11-08 02:17:00-05:00,11.0,,,9.0,11.0,21.0,4.0,11.0,
2023-11-08 02:17:30-05:00,10.0,6.0,,8.0,10.0,17.0,4.0,11.0,
2023-11-08 02:18:00-05:00,9.0,7.0,,8.0,11.0,15.0,4.0,11.0,
2023-11-08 02:18:30-05:00,9.0,7.0,,8.0,10.0,12.0,4.0,12.0,
2023-11-08 02:19:00-05:00,10.0,6.0,,9.0,11.0,12.0,4.0,11.0,
2023-11-08 02:19:30-05:00,9.0,5.0,,8.0,10.0,9.0,5.0,11.0,
2023-11-08 02:20:00-05:00,9.0,6.0,,8.0,10.0,10.0,4.0,11.0,
2023-11-08 02:20:30-05:00,9.0,6.0,,8.0,10.0,9.0,4.0,11.0,
2023-11-08 02:21:00-05:00,10.0,6.0,,8.0,11.0,8.0,5.0,,
2023-11-08 02:21:30-05:00,9.0,5.0,,8.0,11.0,7.0,4.0,12.0,
2023-11-08 02:22:00-05:00,9.0,6.0,,8.0,10.0,8.0,4.0,11.0,
2023-11-08 02:22:30-05:00,9.0,6.0,,8.0,11.0,7.0,4.0,12.0,
2023-11-08 02:23:00-05:00,10.0,7.0,,8.0,10.0,5.0,5.0,12.0,
2023-11-08 02:23:30-05:00,10.0,6.0,,8.0,11.0,7.0,4.0,11.0,
2023-11-08 02:24:00-05:00,10.0,6.0,,9.0,10.0,5.0,5.0,11.0,
2023-11-08 02:24:30-05:00,10.0,6.0,,9.0,10.0,5.0,4.0,12.0,
2023-11-08 02:25:00-05:00,10.0,6.0,,8.0,10.0,6.0,5.0,12.0,
2023-11-08 02:25:30-05:00,9.0,6.0,,8.0,11.0,7.0,4.0,,
2023-11-08 02:26:00-05:00,9.0,7.0,,,10.0,6.0,5.0,12.0,
2023-11-08 02:26:30-05:00,9.0,7.0,,8.0,10.0,5.0,5.0,11.0,
