DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T00:54:00-05:00,,9,21,21,,9,17,30,9,9,13,9,,,17,5,5,9,9
2023-05-25T00:54:30-05:00,,9,17,17,,13,17,25,9,9,13,9,,,17,9,5,9,9
2023-05-25T00:55:00-05:00,,9,21,21,,13,17,25,9,9,13,9,,,13,5,5,13,9
2023-05-25T00:55:30-05:00,,9,17,21,,9,21,25,9,9,13,5,,,17,5,5,13,9
2023-05-25T00:56:00-05:00,,9,21,17,,9,,21,9,9,13,9,,,13,5,0,13,9
2023-05-25T00:56:30-05:00,,9,21,21,,9,17,17,5,9,9,9,,,13,5,0,9,9
2023-05-25T00:57:00-05:00,,9,17,17,,9,17,13,9,9,13,9,,,13,5,9,13,9
2023-05-25T00:57:30-05:00,,9,21,17,,9,17,9,9,9,13,9,,,13,9,0,13,9
2023-05-25T00:58:30-05:00,,9,17,21,,9,17,13,9,9,13,5,,,13,5,0,13,9
2023-05-25T00:59:00-05:00,,9,21,21,,9,17,13,9,9,13,5,,,17,5,5,13,9
2023-05-25T00:59:30-05:00,,9,21,17,,9,13,9,9,9,9,5,,,13,5,5,17,9
2023-05-25T01:00:00-05:00,,9,17,21,,9,13,9,9,9,9,5,,,17,9,5,17,9
2023-05-25T01:00:30-05:00,,9,21,21,,9,13,17,9,9,13,9,,,13,9,5,13,9
2023-05-25T01:01:00-05:00,,9,21,17,,9,13,13,9,9,9,9,,,17,5,9,13,9
2023-05-25T01:01:30-05:00,,9,21,21,,9,13,21,9,9,9,5,,,13,5,5,21,9
2023-05-25T01:02:00-05:00,,9,21,21,,13,13,21,9,9,13,9,,,17,5,5,25,9
2023-05-25T01:02:30-05:00,,9,21,17,,13,13,34,9,9,9,9,,,13,5,5,25,9
2023-05-25T01:03:00-05:00,,9,21,21,,13,9,34,9,9,13,9,,,17,9,5,25,9
2023-05-25T01:03:30-05:00,,9,17,21,,13,9,38,9,9,9,9,,,17,5,0,21,9
2023-05-25T01:04:00-05:00,,9,17,21,,17,9,38,9,9,9,9,,,13,5,0,25,9
2023-05-25T01:04:30-05:00,,9,17,17,,13,9,38,13,9,9,9,,,13,5,0,21,13
2023-05-25T01:05:00-05:00,,9,17,17,,13,9,42,9,9,9,9,,,13,9,5,25,9
2023-05-25T01:05:30-05:00,,9,17,21,,17,9,42,9,9,9,5,,,17,5,5,25,9
2023-05-25T01:06:00-05:00,,9,17,21,,17,9,42,9,9,13,5,,,13,9,5,21,9
2023-05-25T01:06:30-05:00,,9,17,17,,13,9,30,13,9,13,5,,,17,5,5,21,9
2023-05-25T01:07:00-05:00,,9,17,17,,13,9,34,9,9,9,9,,,13,5,5,17,9
2023-05-25T01:07:30-05:00,,9,17,17,,13,9,38,9,9,9,9,,,17,5,5,17,13
2023-05-25T01:08:00-05:00,,9,21,21,,9,9,30,9,9,9,5,,,13,5,0,17,9
2023-05-25T01:08:30-05:00,,9,17,17,,9,9,25,13,9,13,5,,,13,5,0,17,9
2023-05-25T01:09:00-05:00,,9,17,17,,13,9,21,13,9,13,5,,,13,5,0,17,9
2023-05-25T01:09:30-05:00,,9,17,17,,17,9,25,13,9,9,9,,,13,13,0,17,9
2023-05-25T01:10:00-05:00,,13,17,17,,21,9,25,13,9,9,5,,,13,9,0,13,9
2023-05-25T01:10:30-05:00,,9,17,21,,17,9,21,13,9,13,9,,,13,5,0,13,9
2023-05-25T01:11:00-05:00,,9,17,21,,21,9,21,13,9,9,9,,,13,5,0,13,9
2023-05-25T01:11:30-05:00,,9,17,17,,17,9,34,17,9,9,5,,,13,5,0,13,9
2023-05-25T01:12:00-05:00,,13,17,17,,21,9,42,17,9,9,5,,,13,5,0,13,9
