DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-26T00:42:30-05:00,13,,,,,34,42,50,25,38,30,34,21,,21,30,50
2023-05-26T00:43:00-05:00,17,,,,,30,42,55,21,42,25,38,21,,30,30,46
2023-05-26T00:43:30-05:00,17,,,,,30,42,58,21,38,25,38,21,,25,25,46
2023-05-26T00:44:00-05:00,17,,,,,30,42,60,25,42,30,38,17,,30,25,46
2023-05-26T00:44:30-05:00,17,,,,,30,46,60,25,42,25,38,21,,25,25,46
2023-05-26T00:45:00-05:00,17,,,,,30,46,58,21,38,30,34,17,,25,30,46
2023-05-26T00:45:30-05:00,17,,,,,30,,60,21,38,30,38,17,,25,30,42
2023-05-26T00:46:00-05:00,17,,,,,30,42,66,21,42,30,38,21,,21,34,46
2023-05-26T00:46:30-05:00,17,,,,,34,42,64,21,42,30,38,21,,21,25,42
2023-05-26T00:47:00-05:00,17,,,,,34,42,64,21,46,25,38,21,,34,30,50
2023-05-26T00:47:30-05:00,17,,,,,30,42,58,21,42,25,38,25,,30,30,46
2023-05-26T00:48:00-05:00,17,,,,,30,46,70,17,46,25,38,25,,25,25,42
2023-05-26T00:48:30-05:00,17,,,,,34,42,77,21,42,25,38,21,,30,25,42
2023-05-26T00:49:00-05:00,17,,,,,30,46,140,21,42,25,38,17,,25,30,42
2023-05-26T00:49:30-05:00,17,,,,,34,42,132,21,42,30,38,21,,25,30,46
2023-05-26T00:50:00-05:00,17,,,,,34,46,122,21,42,30,34,17,,30,25,46
2023-05-26T00:50:30-05:00,13,,,,,34,46,110,17,42,25,34,17,,30,25,46
2023-05-26T00:51:00-05:00,13,,,,,30,46,100,17,42,25,38,17,,30,25,46
2023-05-26T00:51:30-05:00,17,,,,,30,42,89,17,42,25,38,17,,25,30,50
2023-05-26T00:52:00-05:00,17,,,,,34,42,85,21,50,25,38,17,,25,30,50
2023-05-26T00:52:30-05:00,13,,,,,30,46,77,21,46,25,34,17,,25,30,50
2023-05-26T00:53:00-05:00,17,,,,,34,42,68,21,46,25,34,17,,25,25,46
2023-05-26T00:53:30-05:00,17,,,,,30,42,72,21,46,25,34,17,,25,30,42
2023-05-26T00:54:00-05:00,21,,,,,34,50,68,21,46,25,34,17,,21,30,42
2023-05-26T00:54:30-05:00,17,,,,,34,42,74,17,46,25,38,17,,25,30,50
2023-05-26T00:55:00-05:00,13,,,,,34,38,72,21,46,25,38,13,,30,25,46
2023-05-26T00:55:30-05:00,21,,,,,34,42,81,21,46,30,38,17,,21,30,46
2023-05-26T00:56:00-05:00,17,,,,,34,42,81,21,46,25,38,17,,34,30,46
2023-05-26T00:56:30-05:00,17,,,,,30,42,79,17,46,25,38,25,,30,30,46
2023-05-26T00:57:00-05:00,21,,,,,34,42,72,17,50,30,34,17,,30,25,42
2023-05-26T00:57:30-05:00,17,,,,,30,42,70,21,50,30,34,17,,21,34,46
2023-05-26T00:58:00-05:00,17,,,,,30,42,66,17,46,25,38,17,,30,30,42
2023-05-26T00:58:30-05:00,17,,,,,30,46,68,21,50,25,38,17,,30,34,46
2023-05-26T00:59:00-05:00,17,,,,,34,42,66,21,46,25,34,17,,30,34,
2023-05-26T00:59:30-05:00,17,,,,,30,38,72,17,46,25,34,17,,38,42,46
2023-05-26T01:00:00-05:00,17,,,,,30,38,74,17,50,25,38,17,,21,42,46
2023-05-26T01:00:30-05:00,17,,,,,30,38,68,17,46,25,34,17,,34,38,46
2023-05-26T01:01:00-05:00,17,,,,,30,38,74,21,46,30,38,17,,34,38,46
2023-05-26T01:01:30-05:00,17,,,,,30,38,74,17,50,34,34,17,,25,42,46
2023-05-26T01:02:00-05:00,17,,,,,30,38,66,21,50,30,34,13,,25,38,46
2023-05-26T01:02:30-05:00,17,,,,,25,38,64,17,50,30,34,17,,25,38,46
2023-05-26T01:03:00-05:00,17,,,,,34,38,62,17,46,25,34,13,,21,34,46
2023-05-26T01:03:30-05:00,17,,,,,30,38,60,17,46,25,34,17,,25,30,46
