DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-22T02:04:30-05:00,17,,38,42,17,9,34,9,21,,53,9,30,17
2023-05-22T02:05:00-05:00,17,,34,42,17,13,34,9,25,,50,9,30,13
2023-05-22T02:05:30-05:00,17,,34,42,17,9,34,9,25,,50,13,25,17
2023-05-22T02:06:00-05:00,17,,34,38,17,13,34,9,25,,50,13,30,13
2023-05-22T02:06:30-05:00,17,,34,50,17,9,34,9,25,,53,5,25,17
2023-05-22T02:07:00-05:00,17,,38,50,17,13,34,9,25,,53,9,25,13
2023-05-22T02:07:30-05:00,17,,38,50,17,13,34,9,25,,53,5,21,13
2023-05-22T02:08:00-05:00,17,,38,50,17,13,34,13,25,,55,13,21,13
2023-05-22T02:08:30-05:00,13,,34,50,17,13,34,9,25,,50,13,21,13
2023-05-22T02:09:00-05:00,17,,34,46,17,13,34,9,25,,50,9,25,13
2023-05-22T02:09:30-05:00,17,,34,46,17,9,34,13,25,,50,13,25,17
2023-05-22T02:10:00-05:00,17,,34,42,17,9,34,9,25,,50,9,25,13
2023-05-22T02:10:30-05:00,17,,34,46,21,13,34,13,25,,50,13,25,13
2023-05-22T02:11:00-05:00,17,,34,42,17,13,34,9,25,,50,21,25,13
2023-05-22T02:11:30-05:00,17,,38,46,17,13,34,13,25,,50,17,30,13
2023-05-22T02:12:00-05:00,17,,34,42,13,13,34,13,30,,50,13,21,17
2023-05-22T02:12:30-05:00,17,,38,42,13,13,34,9,25,,50,,25,13
2023-05-22T02:13:00-05:00,17,,34,46,17,13,34,9,30,,46,13,21,13
2023-05-22T02:13:30-05:00,13,,34,46,17,13,34,9,21,,46,17,25,13
2023-05-22T02:14:00-05:00,17,,34,46,17,13,34,9,25,,46,9,25,13
2023-05-22T02:14:30-05:00,17,,34,46,13,9,34,9,25,,46,9,25,13
2023-05-22T02:15:00-05:00,17,,34,46,13,9,34,9,25,,50,13,25,13
2023-05-22T02:15:30-05:00,17,,34,42,17,13,34,9,25,,50,17,25,13
2023-05-22T02:16:00-05:00,17,,30,46,17,13,34,9,21,,46,17,25,13
2023-05-22T02:16:30-05:00,17,,34,46,13,9,34,9,21,,46,13,21,13
2023-05-22T02:17:00-05:00,17,,30,46,17,9,34,9,25,,46,13,25,13
2023-05-22T02:17:30-05:00,17,,30,46,21,13,34,9,21,,46,9,21,9
2023-05-22T02:18:00-05:00,17,,34,42,30,9,34,9,25,,42,13,25,9
2023-05-22T02:18:30-05:00,17,,34,42,21,9,34,9,21,,46,13,25,13
2023-05-22T02:19:00-05:00,17,,30,42,25,13,34,9,21,,46,9,25,13
2023-05-22T02:19:30-05:00,17,,34,38,25,17,34,9,25,,50,9,21,9
2023-05-22T02:20:00-05:00,17,,34,42,30,13,34,9,25,,50,17,21,13
2023-05-22T02:20:30-05:00,17,,34,42,34,13,34,9,25,,,13,25,13
2023-05-22T02:21:00-05:00,17,,30,42,34,13,34,9,25,,,17,30,13
2023-05-22T02:21:30-05:00,17,,25,42,38,13,34,9,21,,,17,25,13
2023-05-22T02:22:00-05:00,17,,34,,42,9,34,9,21,,50,9,25,13
2023-05-22T02:22:30-05:00,17,,30,42,38,9,34,9,21,,53,13,25,9
2023-05-22T02:23:00-05:00,17,,34,46,34,13,34,9,21,,55,13,25,13
2023-05-22T02:23:30-05:00,17,,34,42,21,9,34,9,21,,55,13,25,13
2023-05-22T02:24:00-05:00,17,,34,46,25,9,34,9,25,,55,9,25,13
2023-05-22T02:24:30-05:00,17,,34,46,25,9,34,13,21,,60,13,25,13
2023-05-22T02:25:00-05:00,17,,34,46,25,9,34,9,21,,62,13,25,9
2023-05-22T02:25:30-05:00,17,,30,42,21,9,34,9,21,,60,13,25,9
2023-05-22T02:26:00-05:00,17,,25,46,25,9,34,9,21,,60,9,21,13
2023-05-22T02:26:30-05:00,21,,30,46,21,9,34,9,17,,58,5,21,13
2023-05-22T02:27:00-05:00,21,,30,42,21,9,34,9,17,,60,,25,13
2023-05-22T02:27:30-05:00,21,,30,42,21,9,34,9,17,,60,17,21,13
